package_num_channel	eda_channels	temperature_channels	other_channels	timestamp_channel	marker_channel
22543.000000	0.030228	0.000000	0.000000	1680608173.939123	0.000000
22543.000000	0.030228	0.000000	0.000000	1680608173.939136	0.000000
22561.000000	0.030228	27.520000	22.318000	1680608174.078933	0.000000
22561.000000	0.030228	27.520000	22.318000	1680608174.078940	0.000000
22577.000000	0.030228	27.686000	22.318000	1680608174.181620	0.000000
22595.000000	0.030228	27.686000	22.318000	1680608174.283819	0.000000
22595.000000	0.030228	27.686000	22.318000	1680608174.283825	0.000000
22614.000000	0.030228	27.722000	22.359000	1680608174.376396	0.000000
22632.000000	0.030228	27.596000	22.359000	1680608174.488238	0.000000
22632.000000	0.030228	27.596000	22.359000	1680608174.488244	0.000000
22649.000000	0.030228	27.683000	22.318000	1680608174.591044	0.000000
22666.000000	0.030228	27.683000	22.318000	1680608174.693269	0.000000
22666.000000	0.030228	27.683000	22.318000	1680608174.693278	0.000000
22683.000000	0.030228	27.757000	22.318000	1680608174.804598	0.000000
22701.000000	0.030228	27.824000	22.318000	1680608174.897763	0.000000
22701.000000	0.030228	27.824000	22.318000	1680608174.897769	0.000000
22719.000000	0.030228	27.782000	22.318000	1680608175.000860	0.000000
22719.000000	0.030228	27.782000	22.318000	1680608175.000866	0.000000
22737.000000	0.030228	27.693000	22.343000	1680608175.073271	0.000000
22752.000000	0.030228	27.693000	22.343000	1680608175.205992	0.000000
22752.000000	0.030228	27.693000	22.343000	1680608175.205997	0.000000
22771.000000	0.030228	27.654000	22.343000	1680608175.307866	0.000000
22790.000000	0.030228	27.744000	22.369000	1680608175.404028	0.000000
22790.000000	0.030228	27.744000	22.369000	1680608175.404034	0.000000
22808.000000	0.030228	27.712000	22.369000	1680608175.514088	0.000000
22825.000000	0.030228	27.734000	22.369000	1680608175.609162	0.000000
22825.000000	0.030228	27.734000	22.369000	1680608175.609169	0.000000
22842.000000	0.030228	27.734000	22.327000	1680608175.711458	0.000000
22842.000000	0.030228	27.734000	22.327000	1680608175.711464	0.000000
22859.000000	0.030228	27.778000	22.327000	1680608175.821533	0.000000
22878.000000	0.030228	27.691000	22.375000	1680608175.922130	0.000000
22878.000000	0.030228	27.691000	22.375000	1680608175.922137	0.000000
22895.000000	0.030228	27.760000	22.375000	1680608176.024799	0.000000
22911.000000	0.030228	27.760000	22.375000	1680608176.127678	0.000000
22911.000000	0.030228	27.760000	22.375000	1680608176.127685	0.000000
22928.000000	0.030228	27.719000	22.369000	1680608176.229566	0.000000
22949.000000	0.030228	27.772000	22.369000	1680608176.332386	0.000000
22949.000000	0.030228	27.772000	22.369000	1680608176.332392	0.000000
22966.000000	0.030228	27.795000	22.353000	1680608176.428437	0.000000
22983.000000	0.030227	27.769000	22.353000	1680608176.541178	0.000000
22983.000000	0.030228	27.769000	22.353000	1680608176.541186	0.000000
23000.000000	0.030228	27.769000	22.353000	1680608176.742635	0.000000
23000.000000	0.030228	27.769000	22.353000	1680608176.742641	0.000000
23018.000000	0.030228	27.723000	22.353000	1680608176.747433	0.000000
23035.000000	0.030228	27.632000	22.353000	1680608176.947176	0.000000
23035.000000	0.030228	27.632000	22.353000	1680608176.947183	0.000000
23054.000000	0.030228	27.628000	22.295000	1680608176.954900	0.000000
23069.000000	0.030228	27.628000	22.295000	1680608177.151128	0.000000
23069.000000	0.030228	27.628000	22.295000	1680608177.151138	0.000000
23087.000000	0.030228	27.733000	22.295000	1680608177.159061	0.000000
23105.000000	0.030228	27.672000	22.361000	1680608177.355734	0.000000
23105.000000	0.030228	27.672000	22.361000	1680608177.355742	0.000000
23125.000000	0.030228	27.787000	22.361000	1680608177.375731	0.000000
23125.000000	0.030227	27.787000	22.361000	1680608177.375738	0.000000
23142.000000	0.030227	27.731000	22.353000	1680608177.560895	0.000000
23159.000000	0.030228	27.731000	22.353000	1680608177.582120	0.000000
23159.000000	0.030227	27.731000	22.353000	1680608177.582125	0.000000
23176.000000	0.030228	27.706000	22.353000	1680608177.768283	0.000000
23194.000000	0.030227	27.625000	22.449000	1680608177.785954	0.000000
23194.000000	0.030227	27.625000	22.449000	1680608177.785961	0.000000
23211.000000	0.030228	27.660000	22.449000	1680608177.970395	0.000000
23228.000000	0.030227	27.660000	22.449000	1680608177.998637	0.000000
23228.000000	0.030227	27.660000	22.449000	1680608177.998644	0.000000
23245.000000	0.030227	27.711000	22.412000	1680608178.175429	0.000000
23245.000000	0.030227	27.711000	22.412000	1680608178.175436	0.000000
23263.000000	0.030227	27.662000	22.412000	1680608178.204319	0.000000
23283.000000	0.030227	27.712000	22.273000	1680608178.380500	0.000000
23283.000000	0.030227	27.712000	22.273000	1680608178.380514	0.000000
23301.000000	0.030227	27.698000	22.273000	1680608178.471661	0.000000
23316.000000	0.030227	27.698000	22.273000	1680608178.586490	0.000000
23316.000000	0.030227	27.698000	22.273000	1680608178.586497	0.000000
23335.000000	0.030228	27.657000	22.334000	1680608178.619310	0.000000
23352.000000	0.030227	27.745000	22.334000	1680608178.790397	0.000000
23352.000000	0.030227	27.745000	22.334000	1680608178.790404	0.000000
